日期,门店代码,SR工号,高满数,金装（13-24个月）新客,PE（13-84个月）新客,启赋（13-24个月）新客,金装（25-36个月）新客,启赋（25-36个月）新客,铂臻新客,启韵新客,妈妈新客,孕期会员新客,DHA新客,Babynes
2017/6/1,R097565,,11,33,,,,,,,,,,
2017/6/1,R074037,,16,24,,,,,,,,,,
2017/6/1,R091238,,11,29,,,,,,,,,,
2017/6/1,R105700,,23,32,,,,,,,,,,
2017/6/1,R052349,,11,21,,,,,,,,,,
2017/6/1,R031454,,15,35,,,,,,,,,,
2017/6/1,R009000,,3,3,,,,,,,,,,
2017/6/1,R056101,,10,19,,,,,,,,,,
2017/6/1,R080610,,11,37,,,,,,,,,,
2017/6/1,R048103,,3,39,,,,,,,,,,
2017/6/1,R014918,,12,29,,,,,,,,,,
2017/6/1,R048020,,22,26,,,,,,,,,,
2017/6/1,R030315,,33,27,,,,,,,,,,
2017/6/1,R074036,,26,30,,,,,,,,,,
2017/6/1,R073041,,22,44,,,,,,,,,,
2017/6/1,R022913,,8,42,,,,,,,,,,
2017/6/1,R067285,,20,19,,,,,,,,,,
2017/6/1,R062952,,8,34,,,,,,,,,,
2017/6/1,R045231,,8,36,,,,,,,,,,
2017/6/1,R045421,,24,23,,,,,,,,,,
2017/6/1,R013756,,6,8,,,,,,,,,,
2017/6/1,R042997,,5,12,,,,,,,,,,
2017/6/1,R105143,,2,5,,,,,,,,,,
2017/6/1,R000680,,20,16,,,,,,,,,,
2017/6/1,R096287,,23,53,,,,,,,,,,
2017/6/1,R003185,,37,71,,,,,,,,,,
2017/6/1,R004863,,16,24,,,,,,,,,,
2017/6/1,R009145,,12,36,,,,,,,,,,
2017/6/1,R017976,,4,50,,,,,,,,,,
2017/6/1,R006195,,13,56,,,,,,,,,,
2017/6/1,R000799,,7,21,,,,,,,,,,
2017/6/1,R005888,,13,30,,,,,,,,,,
2017/6/1,R014269,,23,20,,,,,,,,,,
2017/6/1,R022893,,5,32,,,,,,,,,,
2017/6/1,R052658,,11,18,,,,,,,,,,
2017/6/1,R046835,,15,22,,,,,,,,,,
2017/6/1,R004994,,2,6,,,,,,,,,,
2017/6/1,R003039,,9,22,,,,,,,,,,
2017/6/1,R059568,,24,45,,,,,,,,,,
2017/6/1,R039836,,19,58,,,,,,,,,,
2017/6/1,R007259,,9,18,,,,,,,,,,
2017/6/1,R002784,,7,22,,,,,,,,,,
2017/6/1,R100580,,21,49,,,,,,,,,,
2017/6/1,R088970,,14,41,,,,,,,,,,
2017/6/1,R021475,,24,20,,,,,,,,,,
2017/6/1,R066682,,27,48,,,,,,,,,,
2017/6/1,R002228,,100,254,,,,,,,,,,
2017/6/1,R044718,,21,75,,,,,,,,,,
2017/6/1,R061730,,14,38,,,,,,,,,,
2017/6/1,R066657,,6,22,,,,,,,,,,
2017/6/1,R011444,,21,61,,,,,,,,,,
2017/6/1,R003624,,8,15,,,,,,,,,,
2017/6/1,R068311,,7,10,,,,,,,,,,
2017/6/1,R081345,,32,100,,,,,,,,,,
2017/6/1,R076772,,0,3,,,,,,,,,,
2017/6/1,R008299,,11,36,,,,,,,,,,
2017/6/1,R005689,,39,97,,,,,,,,,,
2017/6/1,R005235,,20,74,,,,,,,,,,
2017/6/1,R008217,,9,20,,,,,,,,,,
2017/6/1,R005607,,61,169,,,,,,,,,,
2017/6/1,R066683,,19,34,,,,,,,,,,
2017/6/1,R007636,,19,42,,,,,,,,,,
2017/6/1,R023894,,33,103,,,,,,,,,,
2017/6/1,R104221,,5,13,,,,,,,,,,
2017/6/1,R100125,,26,104,,,,,,,,,,
2017/6/1,R002638,,24,99,,,,,,,,,,
2017/6/1,R043625,,9,35,,,,,,,,,,
2017/6/1,R021817,,5,18,,,,,,,,,,
2017/6/1,R076774,,4,10,,,,,,,,,,
2017/6/1,R099375,,25,55,,,,,,,,,,
2017/6/1,R095765,,18,25,,,,,,,,,,
2017/6/1,R062934,,33,153,,,,,,,,,,
2017/6/1,R068462,,0,6,,,,,,,,,,
2017/6/1,R065529,,16,59,,,,,,,,,,
2017/6/1,R022919,,35,51,,,,,,,,,,
2017/6/1,R072010,,2,16,,,,,,,,,,
2017/6/1,R027995,,7,38,,,,,,,,,,
2017/6/1,R071037,,19,45,,,,,,,,,,
2017/6/1,R023031,,15,30,,,,,,,,,,
2017/6/1,R062981,,4,37,,,,,,,,,,
2017/6/1,R062681,,12,20,,,,,,,,,,
2017/6/1,R069244,,4,5,,,,,,,,,,
2017/6/1,R076775,,14,37,,,,,,,,,,
2017/6/1,R012758,,34,88,,,,,,,,,,
2017/6/1,R062680,,17,21,,,,,,,,,,
2017/6/1,R045393,,11,38,,,,,,,,,,
2017/6/1,R105807,,11,32,,,,,,,,,,
2017/6/1,R070685,,38,93,,,,,,,,,,
2017/6/1,R004511,,43,47,,,,,,,,,,
2017/6/1,R006812,,52,73,,,,,,,,,,
2017/6/1,R005573,,35,56,,,,,,,,,,
2017/6/1,R000708,,35,41,,,,,,,,,,
2017/6/1,R005839,,41,62,,,,,,,,,,
2017/6/1,R068641,,15,39,,,,,,,,,,
2017/6/1,R062975,,52,78,,,,,,,,,,
2017/6/1,R088725,,13,7,,,,,,,,,,
2017/6/1,R068439,,27,51,,,,,,,,,,
2017/6/1,R066240,,5,19,,,,,,,,,,
2017/6/1,R048017,,26,40,,,,,,,,,,
2017/6/1,R048013,,10,13,,,,,,,,,,
2017/6/1,R088726,,14,44,,,,,,,,,,
2017/6/1,R066247,,2,8,,,,,,,,,,
2017/6/1,R048015,,8,41,,,,,,,,,,
2017/6/1,R066239,,8,34,,,,,,,,,,
2017/6/1,R068440,,10,13,,,,,,,,,,
2017/6/1,R095764,,19,59,,,,,,,,,,
2017/6/1,R062976,,8,63,,,,,,,,,,
2017/6/1,R088245,,61,85,,,,,,,,,,
2017/6/1,R100408,,17,45,,,,,,,,,,
2017/6/1,R089094,,13,40,,,,,,,,,,
2017/6/1,R088724,,0,0,,,,,,,,,,
2017/6/1,R089800,,4,36,,,,,,,,,,
2017/6/1,R099532,,10,26,,,,,,,,,,
2017/6/1,R019254,,11,34,,,,,,,,,,
2017/6/1,R069252,,70,134,,,,,,,,,,
2017/6/1,R001063,,19,54,,,,,,,,,,
2017/6/1,R022915,,7,27,,,,,,,,,,
2017/6/1,R099530,,11,6,,,,,,,,,,
2017/6/1,R095914,,10,31,,,,,,,,,,
2017/6/1,R095912,,9,22,,,,,,,,,,
2017/6/1,R043503,,23,48,,,,,,,,,,
2017/6/1,R008747,,14,35,,,,,,,,,,
2017/6/1,R059164,,16,34,,,,,,,,,,
2017/6/1,R030323,,23,54,,,,,,,,,,
2017/6/1,R056389,,27,52,,,,,,,,,,
2017/6/1,R071347,,18,44,,,,,,,,,,
2017/6/1,R056388,,20,38,,,,,,,,,,
2017/6/1,R097574,,34,21,,,,,,,,,,
2017/6/1,R000775,,31,87,,,,,,,,,,
