日期,门店代码,Goldofftake,limuaofftake,Estimate,Supplycommodity,golereached,limuareached,Othersestimate,Otherscompletion
2017-06-01,R000450,454,317,231,218.5,465.5,176,540,423
2017-06-01,R000463,172,110,79,73,144,123,203,194
2017-06-01,R000465,63,101,55,68.5,144.241,60,109,135.741
2017-06-01,R000470,288,106,176,182.5,362.204,50.5,218,230.204
2017-06-01,R000475,103,152,145,34.5,8.37037,65.5,110,39.3704
2017-06-01,R000479,955,618,359,520.5,570.556,1310.5,1214,1360.56
2017-06-01,R000481,119,118,138,144,52.7407,227,99,135.741
2017-06-01,R000485,175,231,178,71,93.8704,87.5,228,110.37
2017-06-01,R000488,154,120,94,128,163.463,99.5,180,134.963
2017-06-01,R000490,505,532,347,397,633.185,539,690,775.185
2017-06-01,R000500,94,62,79,82,180.333,6,77,104.333
2017-06-01,R000502,242,238,171,191.5,251.333,238,309,297.833
2017-06-01,R000505,175,255,159,83.5,133.352,138,271,187.852
2017-06-01,R000507,,,,35.5,90.8519,52.5,,107.852
2017-06-01,R000511,248,104,108,53,199.463,144.5,244,290.963
2017-06-01,R000513,474,188,186,116,337.556,188,476,409.556
2017-06-01,R000524,198,196,91,99.5,75.8704,132,303,108.37
2017-06-01,R000526,462,189,195,145.5,353.296,213.5,456,421.296
2017-06-01,R000531,422,627,306,389,311.815,797,743,719.815
2017-06-01,R000537,99,179,86,92.5,77.5,217,192,202
2017-06-01,R000541,312,305,124,178.5,171.241,144.5,493,137.241
2017-06-01,R000543,230,82,72,95.5,176.815,60,240,141.315
2017-06-01,R000549,96,119,95,97.5,155.963,51.5,120,109.963
2017-06-01,R000555,181,65,105,137,93,126,141,82
2017-06-01,R000558,89,68,52,72,85.5,92.5,105,106
2017-06-01,R000560,255,115,135,134,215.704,135,235,216.704
2017-06-01,R000561,387,417,288,303.5,311.5,594.5,516,602.5
2017-06-01,R000564,187,432,95,185.5,32.5,279,524,126
2017-06-01,R000565,252,128,120,129,288,166,260,325
2017-06-01,R000566,32,359,351,75,82,59.5,40,66.5
2017-06-01,R000567,108,82,76,97,155,83,114,141
2017-06-01,R000568,108,81,63,33,98.1852,62,126,127.185
2017-06-01,R000570,115,47,98,102,84,60,64,42
2017-06-01,R000571,178,317,140,144.5,176.074,231.5,355,263.074
2017-06-01,R000572,113,72,62,62,70,109.5,123,117.5
2017-06-01,R000577,180,140,100,110.5,125.852,135.5,220,150.852
2017-06-01,R000578,376,142,144,120,243.907,119.5,374,243.407
2017-06-01,R000579,266,154,140,158,248.111,266,280,356.111
2017-06-01,R000583,88,72,46,42,109.481,41,114,108.481
2017-06-01,R000586,61,137,80,93,185.852,20,118,112.852
